Month,Customer ID,Customer,Tier,Industry,Service Type,Tickets,Resolved Tickets,Tickets With Outcome,Breached Tickets,SLA Compliance Pct,P50 Resolution Hours,Avg Target Utilisation
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,Managed Cloud,25,25,25,1,96.0,28.85,0.524
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,Dedicated Internet,27,27,27,5,81.48,52.23,0.714
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,MPLS WAN,14,14,14,1,92.86,35.44,0.583
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,Managed Security,22,22,22,0,100.0,30.48,0.459
2024-07-01,CUST-023,Silverline Learning Trust,Bronze,Education,SD-WAN,24,24,24,6,75.0,43.47,0.646
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,Managed Security,27,27,27,3,88.89,17.45,0.588
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,Managed Cloud,59,59,59,9,84.75,19.63,0.631
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,SD-WAN,23,23,23,7,69.57,12.93,1.311
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,Dedicated Internet,90,90,90,21,76.67,25.48,0.853
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,Business Voice (SIP),64,64,64,11,82.81,27.26,0.645
2024-07-01,CUST-024,Cascadia Academy,Gold,Education,MPLS WAN,10,10,10,5,50.0,15.44,1.141
2024-07-01,CUST-025,Cedar Marketplaces,Bronze,Retail,SD-WAN,15,15,15,7,53.33,103.82,1.62
2024-07-01,CUST-025,Cedar Marketplaces,Bronze,Retail,MPLS WAN,4,4,4,3,25.0,28.8,0.964
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,Business Voice (SIP),73,73,73,9,87.67,26.92,0.547
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,Dedicated Internet,86,86,86,10,88.37,19.7,0.537
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,SD-WAN,63,63,63,15,76.19,31.27,0.719
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,MPLS WAN,5,5,5,0,100.0,18.6,0.47
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,Managed Security,14,14,14,0,100.0,8.92,0.343
2024-07-01,CUST-026,Frontier Freight Lines,Gold,Logistics,Managed Cloud,39,39,39,4,89.74,17.83,0.473
2024-07-01,CUST-027,Trillium Medical Centres,Bronze,Healthcare,Business Voice (SIP),11,11,11,3,72.73,40.14,0.767
2024-07-01,CUST-027,Trillium Medical Centres,Bronze,Healthcare,Managed Cloud,16,16,16,2,87.5,56.3,0.636
2024-07-01,CUST-027,Trillium Medical Centres,Bronze,Healthcare,Managed Security,20,20,20,2,90.0,32.01,0.553
2024-07-01,CUST-027,Trillium Medical Centres,Bronze,Healthcare,Dedicated Internet,14,14,14,2,85.71,59.97,0.724
2024-07-01,CUST-028,Beacon Pipelines,Bronze,Energy,Dedicated Internet,24,24,24,8,66.67,71.83,0.931
2024-07-01,CUST-028,Beacon Pipelines,Bronze,Energy,Managed Cloud,11,11,11,3,72.73,48.74,0.733
2024-07-01,CUST-028,Beacon Pipelines,Bronze,Energy,Managed Security,5,5,5,1,80.0,32.99,0.517
2024-07-01,CUST-028,Beacon Pipelines,Bronze,Energy,MPLS WAN,1,1,1,0,100.0,46.65,0.486
2024-07-01,CUST-028,Beacon Pipelines,Bronze,Energy,SD-WAN,12,12,12,3,75.0,66.54,0.695
2024-07-01,CUST-029,Pinecrest Energy,Bronze,Energy,Business Voice (SIP),8,8,8,2,75.0,57.29,0.588
2024-07-01,CUST-029,Pinecrest Energy,Bronze,Energy,SD-WAN,9,9,9,4,55.56,52.44,1.037
2024-07-01,CUST-029,Pinecrest Energy,Bronze,Energy,Dedicated Internet,8,8,8,1,87.5,31.99,0.488
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,Managed Security,31,31,31,2,93.55,6.24,0.345
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,Dedicated Internet,52,52,52,4,92.31,9.73,0.607
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,MPLS WAN,46,46,46,5,89.13,9.81,0.398
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,SD-WAN,139,139,139,15,89.21,10.15,0.571
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,Business Voice (SIP),122,122,122,11,90.98,10.6,0.521
2024-07-01,CUST-030,Summit Retail Group,Platinum,Retail,Managed Cloud,36,36,36,2,94.44,5.67,0.357
2024-07-01,CUST-031,Crestview Pipelines,Silver,Energy,Dedicated Internet,7,7,7,0,100.0,35.19,0.447
2024-07-01,CUST-031,Crestview Pipelines,Silver,Energy,SD-WAN,16,16,16,4,75.0,46.73,0.684
2024-07-01,CUST-031,Crestview Pipelines,Silver,Energy,Managed Security,6,6,6,2,66.67,47.45,0.562
2024-07-01,CUST-031,Crestview Pipelines,Silver,Energy,Managed Cloud,7,7,7,0,100.0,39.59,0.393
2024-07-01,CUST-031,Crestview Pipelines,Silver,Energy,Business Voice (SIP),8,8,8,0,100.0,50.06,0.461
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,Dedicated Internet,83,83,83,11,86.75,9.42,0.532
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,MPLS WAN,16,16,16,2,87.5,12.19,0.537
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,SD-WAN,103,103,103,12,88.35,12.21,0.545
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,Managed Security,43,43,43,0,100.0,8.64,0.326
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,Managed Cloud,11,11,11,3,72.73,12.64,1.701
2024-07-01,CUST-032,Meridian Distribution,Platinum,Logistics,Business Voice (SIP),127,127,127,8,93.7,8.06,0.427
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,SD-WAN,59,59,59,7,88.14,21.37,0.56
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,Dedicated Internet,44,44,44,4,90.91,18.01,0.507
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,Managed Cloud,16,16,16,0,100.0,24.89,0.313
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,MPLS WAN,29,29,29,4,86.21,20.1,0.568
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,Managed Security,33,33,33,3,90.91,8.04,0.53
2024-07-01,CUST-033,Boreal Retail Group,Gold,Retail,Business Voice (SIP),66,66,66,3,95.45,18.75,0.456
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,Managed Cloud,15,15,15,1,93.33,17.2,0.614
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,MPLS WAN,21,21,21,4,80.95,6.85,0.902
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,Dedicated Internet,75,75,75,16,78.67,9.28,0.737
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,Business Voice (SIP),64,64,64,8,87.5,7.56,0.561
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,Managed Security,29,29,29,2,93.1,7.28,0.488
2024-07-01,CUST-034,Evergreen Stores Ltd.,Platinum,Retail,SD-WAN,58,58,58,13,77.59,20.97,0.889
2024-07-01,CUST-035,Ridgeline Stores Ltd.,Gold,Retail,MPLS WAN,30,30,30,5,83.33,22.22,0.626
2024-07-01,CUST-035,Ridgeline Stores Ltd.,Gold,Retail,Business Voice (SIP),40,40,40,1,97.5,13.85,0.447
2024-07-01,CUST-035,Ridgeline Stores Ltd.,Gold,Retail,Managed Security,3,3,3,0,100.0,21.9,0.353
2024-07-01,CUST-035,Ridgeline Stores Ltd.,Gold,Retail,SD-WAN,59,59,59,4,93.22,11.24,0.49
2024-07-01,CUST-035,Ridgeline Stores Ltd.,Gold,Retail,Dedicated Internet,56,56,56,8,85.71,14.67,0.481
2024-07-01,CUST-036,Highland College,Platinum,Education,Managed Cloud,33,33,33,2,93.94,6.87,0.487
2024-07-01,CUST-036,Highland College,Platinum,Education,SD-WAN,56,56,56,6,89.29,14.96,0.593
2024-07-01,CUST-036,Highland College,Platinum,Education,Dedicated Internet,95,95,95,9,90.53,10.48,0.485
2024-07-01,CUST-036,Highland College,Platinum,Education,Managed Security,25,25,25,0,100.0,7.76,0.325
2024-07-01,CUST-036,Highland College,Platinum,Education,Business Voice (SIP),87,87,87,6,93.1,7.33,0.452
2024-07-01,CUST-036,Highland College,Platinum,Education,MPLS WAN,37,37,37,8,78.38,20.21,0.76
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,Managed Security,12,12,12,2,83.33,30.03,0.726
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,Business Voice (SIP),50,50,50,6,88.0,19.51,0.597
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,SD-WAN,58,58,58,15,74.14,35.98,0.853
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,MPLS WAN,50,50,50,16,68.0,31.43,0.839
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,Managed Cloud,21,21,21,4,80.95,33.13,0.719
2024-07-01,CUST-037,Glacier Retail Group,Gold,Retail,Dedicated Internet,88,88,88,9,89.77,18.56,0.61
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,Managed Security,12,12,12,1,91.67,20.07,0.417
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,MPLS WAN,28,28,28,4,85.71,41.0,0.6
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,Dedicated Internet,35,35,35,6,82.86,42.74,0.779
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,SD-WAN,22,22,22,5,77.27,32.53,0.748
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,Managed Cloud,3,3,3,0,100.0,11.94,0.404
2024-07-01,CUST-038,Harbour Renewables,Silver,Energy,Business Voice (SIP),17,17,17,2,88.24,46.79,0.71
2024-07-01,CUST-039,Quarry Academy,Silver,Education,Dedicated Internet,66,66,66,7,89.39,24.43,0.457
2024-07-01,CUST-039,Quarry Academy,Silver,Education,Managed Cloud,16,16,16,1,93.75,14.76,0.333
2024-07-01,CUST-039,Quarry Academy,Silver,Education,Managed Security,14,14,14,0,100.0,16.34,0.222
2024-07-01,CUST-039,Quarry Academy,Silver,Education,Business Voice (SIP),64,64,64,9,85.94,23.18,0.472
2024-07-01,CUST-039,Quarry Academy,Silver,Education,MPLS WAN,25,25,25,3,88.0,42.16,0.61
2024-07-01,CUST-039,Quarry Academy,Silver,Education,SD-WAN,58,58,58,5,91.38,28.86,0.526
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,Dedicated Internet,52,52,52,4,92.31,22.43,0.504
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,MPLS WAN,4,4,4,3,25.0,69.96,1.297
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,SD-WAN,24,24,24,6,75.0,27.35,0.884
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,Managed Security,14,14,14,0,100.0,12.89,0.359
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,Business Voice (SIP),50,50,50,5,90.0,21.81,0.59
2024-07-01,CUST-040,Tundra Fabrication,Gold,Manufacturing,Managed Cloud,15,15,15,1,93.33,16.54,0.422
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,MPLS WAN,19,19,19,5,73.68,56.74,0.758
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Managed Security,6,6,6,0,100.0,26.25,0.353
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Business Voice (SIP),14,14,14,2,85.71,37.14,0.621
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Managed Cloud,3,3,3,0,100.0,7.61,0.473
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,Dedicated Internet,32,32,32,3,90.63,20.76,0.466
2024-08-01,CUST-001,Lakeview Health Network,Silver,Healthcare,SD-WAN,5,5,5,2,60.0,69.25,0.913
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,SD-WAN,4,4,4,1,75.0,37.05,1.125
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,Managed Security,2,2,2,0,100.0,9.69,0.259
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,MPLS WAN,4,4,4,1,75.0,20.44,0.641
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,Dedicated Internet,3,3,3,1,66.67,26.96,0.853
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,Managed Cloud,13,13,13,1,92.31,15.8,0.427
2024-08-01,CUST-002,Westgate Care Group,Silver,Healthcare,Business Voice (SIP),7,7,7,2,71.43,14.97,0.733
2024-08-01,CUST-003,Juniper Polytechnic,Platinum,Education,Business Voice (SIP),73,73,73,16,78.08,14.41,0.778
